time,event_type,flow_state,tolerance_count,bag_state,bag_time_remaining,actual_flow,target_flow,medical_order,actions_count,actions,alarm_state
0.000,control,normal_flow,0.0,normal_bag,inf,120.000,120.000,120.0,1,stop_pump,no_alarm
0.000,control,normal_flow,0,normal_bag,inf,120.000,0.000,0,1,adjust_flow(delta=-120.000),no_alarm
1.000,control,normal_flow,0,normal_bag,inf,86.369,0.000,0,1,adjust_flow(delta=-86.369),no_alarm
2.000,control,normal_flow,0,normal_bag,inf,86.369,0.000,0,1,adjust_flow(delta=-86.369),no_alarm
3.000,control,normal_flow,0,normal_bag,inf,86.369,0.000,0,1,adjust_flow(delta=-86.369),no_alarm
4.000,control,normal_flow,0,normal_bag,inf,86.369,0.000,0,1,adjust_flow(delta=-86.369),no_alarm
5.000,control,normal_flow,0,normal_bag,inf,86.369,0.000,0,1,adjust_flow(delta=-86.369),no_alarm
6.000,control,normal_flow,0,normal_bag,inf,86.369,0.000,0,1,adjust_flow(delta=-86.369),no_alarm
7.000,control,normal_flow,0,normal_bag,inf,0.000,0.000,0,1,adjust_flow(delta=0.000),no_alarm
8.000,control,normal_flow,0,normal_bag,inf,0.000,0.000,0,1,adjust_flow(delta=0.000),no_alarm
9.000,control,normal_flow,0,normal_bag,inf,0.000,0.000,0,1,adjust_flow(delta=0.000),no_alarm
10.000,control,normal_flow,0,normal_bag,inf,0.000,0.000,0,1,adjust_flow(delta=0.000),no_alarm
11.000,control,normal_flow,0,normal_bag,inf,0.000,0.000,0,1,adjust_flow(delta=0.000),no_alarm
12.000,control,normal_flow,0,normal_bag,inf,0.000,0.000,0,1,adjust_flow(delta=0.000),no_alarm
13.000,control,normal_flow,0,normal_bag,inf,0.000,0.000,0,1,adjust_flow(delta=0.000),no_alarm
14.000,control,normal_flow,0,normal_bag,inf,0.000,0.000,0,1,adjust_flow(delta=0.000),no_alarm
15.000,control,normal_flow,0,normal_bag,inf,0.000,0.000,0,1,adjust_flow(delta=0.000),no_alarm
16.000,control,normal_flow,0,normal_bag,inf,0.000,0.000,0,1,adjust_flow(delta=0.000),no_alarm
17.000,control,normal_flow,0,normal_bag,inf,0.000,0.000,0,1,adjust_flow(delta=0.000),no_alarm
18.000,control,normal_flow,0,normal_bag,inf,0.000,0.000,0,1,adjust_flow(delta=0.000),no_alarm
19.000,control,normal_flow,0,normal_bag,inf,0.000,0.000,0,1,adjust_flow(delta=0.000),no_alarm
